CustomerID,Age,Email,PhoneNumber,TransactionAmount,AccountBalance,TransactionType,Country,City,SignupDate,TransactionDate,Device,Browser,IsActive,LoginAttempts,FraudFlag,Income,CreditScore,LoanAmount,LoanStatus,ValidEmail,ValidPhone,InvalidAgeFlag,InvalidTxnFlag,InvalidCreditFlag,InvalidDateFlag,InvalidEmailFlag,InvalidPhoneFlag,DataQualityScore
10015,47,test@company.com,1234567890,3618.8039359972445,46408.73782447602,Debit,India,NY,2020-05-09,2024-04-25,Mobile,Chrome,1,5,1,37974.18792725212,698,42837.1241203629,Rejected,True,True,0,0,0,0,0,0,0
10017,36,test@company.com,1234567890,7165.018071349045,21279.861864413455,Debit,USA,Mumbai,2022-03-28,2023-07-13,Tablet,Edge,1,2,1,97134.06226562454,814,20646.64492413449,Approved,True,True,0,0,0,0,0,0,0
10020,56,test@company.com,1234567890,280.5133933037504,5401.733242621671,Debit,India,Dallas,2023-10-10,2024-01-11,Desktop,Firefox,1,5,1,32649.240343727106,539,37462.90576729644,Pending,True,True,0,0,0,0,0,0,0
10027,65,user@gmail.com,1234567890,3145.517759403225,41766.00955826445,Credit,India,NY,2021-12-23,2024-04-05,Desktop,Chrome,1,4,1,23750.269922403935,701,13485.92020479546,Rejected,True,True,0,0,0,0,0,0,0
10038,28,test@company.com,1234567890,6727.553321238931,45552.156654712795,Credit,India,London,2020-02-19,2023-12-06,Tablet,Chrome,0,1,1,143832.13527604705,696,40006.56804414643,Pending,True,True,0,0,0,0,0,0,0
10044,22,test@company.com,1234567890,8767.46230393108,5897.30075357157,Credit,India,NY,2023-09-05,2023-09-18,Mobile,Chrome,1,0,1,114285.25641093311,760,30647.37641772442,Rejected,True,True,0,0,0,0,0,0,0
10056,32,user@gmail.com,1234567890,899.931571597039,20932.82260475499,Debit,India,NY,2020-09-26,2023-02-23,Tablet,Chrome,1,6,0,33181.334898291745,585,15658.417754137377,Rejected,True,True,0,0,0,0,0,0,0
10069,55,user@gmail.com,1234567890,1468.7967997492935,20215.470006737323,Credit,,NY,2022-12-04,2024-09-26,Tablet,Chrome,0,6,1,28618.86745007545,772,18932.57356261831,Rejected,True,True,0,0,0,0,0,0,0
10106,65,test@company.com,1234567890,7346.624354378497,21785.261557880858,Debit,,Mumbai,2023-11-14,2024-07-30,Desktop,Chrome,1,7,1,136409.25117054366,631,29133.89373584137,Pending,True,True,0,0,0,0,0,0,0
10114,50,test@company.com,1234567890,4986.2164933511785,15019.600773557908,Credit,India,NY,2021-04-18,2024-10-29,Desktop,Safari,1,0,0,139283.2179878002,801,41901.78009240873,Pending,True,True,0,0,0,0,0,0,0
10119,56,user@gmail.com,1234567890,8424.438207424479,3842.6360183348816,Credit,,London,2022-12-17,2023-03-02,Tablet,Edge,1,8,0,66281.65452936955,340,49887.22105034253,Rejected,True,True,0,0,0,0,0,0,0
10140,38,test@company.com,1234567890,7011.323209903341,7741.313928562375,Debit,,Dallas,2022-12-02,2024-09-26,Mobile,Chrome,1,6,0,69646.67339352902,455,27491.95605753643,Rejected,True,True,0,0,0,0,0,0,0
10162,46,test@company.com,1234567890,6174.13598572042,-34.69033391536402,Debit,,London,2021-05-30,2023-10-15,Tablet,Chrome,0,0,1,29600.034297784165,796,1143.8972610951726,Rejected,True,True,0,0,0,0,0,0,0
10165,31,test@company.com,1234567890,1871.3161383456159,16952.845707595792,Credit,India,London,2023-11-01,2024-03-29,Mobile,Chrome,0,7,1,140428.0885095253,842,38737.10582564407,Approved,True,True,0,0,0,0,0,0,0
10167,38,user@gmail.com,1234567890,8595.445137810539,-63.045618556675095,Credit,,Dallas,2023-03-07,2024-11-24,Mobile,Safari,1,3,0,44010.7470734783,381,49585.814595444004,Approved,True,True,0,0,0,0,0,0,0
