CustomerID,Age,Email,PhoneNumber,TransactionAmount,AccountBalance,TransactionType,Country,City,SignupDate,TransactionDate,Device,Browser,IsActive,LoginAttempts,FraudFlag,Income,CreditScore,LoanAmount,LoanStatus
10000,66,user@gmail.com,invalid_phone,4617.766182558479,20175.901590900867,Credit,USA,NY,2023-11-02,2024-02-15,Mobile,Edge,1,5,0,45569.23234468854,705,48323.93364522613,Approved
10001,29,invalid_email,,9426.402320955167,30369.655655869403,Debit,India,London,2022-03-28,2024-11-21,Mobile,Edge,0,4,1,43538.321315482135,795,4219.5248018438215,Rejected
10002,75,test@company.com,1234567890,100.98528192649849,23540.59572523023,Debit,USA,Mumbai,2020-02-29,2024-06-08,Desktop,Safari,1,5,1,91867.95621026272,566,40938.20512756675,Approved
10003,35,invalid_email,invalid_phone,9275.485506982131,22434.61559508619,Debit,UK,Mumbai,2021-04-11,2024-03-22,Mobile,Chrome,0,0,0,137611.32587190808,893,17077.893823299324,Rejected
10004,38,test@company.com,,30.32762001946878,17487.996297428304,Credit,India,Dallas,2021-09-19,2023-10-27,Desktop,Safari,0,3,0,122530.07058317786,363,42473.40129927374,Rejected
10005,17,,1234567890,5246.699813204185,28918.96271652118,Debit,UK,NY,2021-01-25,2024-02-12,Tablet,Safari,1,8,0,137661.58436758054,418,49587.78247522712,Approved
10006,36,,invalid_phone,8849.6299540114,30843.007594104125,Debit,UK,NY,2022-07-24,2024-09-28,Tablet,Firefox,0,3,0,95787.42629854697,640,17433.370510587392,Approved
10007,67,,1234567890,2258.56990739368,32317.76658596949,Credit,,NY,2021-11-15,2024-01-10,Mobile,Firefox,0,1,0,73290.84285961893,612,6467.818310617762,Rejected
10008,16,,invalid_phone,4458.609238924165,2588.773503207495,Credit,India,Mumbai,2023-04-25,2023-08-21,Tablet,Edge,1,5,0,114853.37752045263,462,7218.774899146413,Approved
10009,44,,invalid_phone,2905.4532309381493,31182.742961314492,Debit,USA,Dallas,2021-05-12,2024-09-29,Tablet,Firefox,0,1,1,53977.32366374462,804,37937.0445474593,Rejected
10010,52,invalid_email,invalid_phone,9497.511129301689,47615.09611784288,Credit,UK,Mumbai,2021-08-22,2024-10-11,Mobile,Chrome,0,2,1,30147.014540702483,592,7246.077616906827,Approved
10011,16,,1234567890,8148.278744907453,26590.298011932267,Credit,India,NY,2023-10-16,2023-02-18,Desktop,Chrome,0,6,0,64799.92305504763,676,13021.07842673183,Rejected
10012,78,user@gmail.com,,6944.515868926986,35478.62120797146,Credit,USA,London,2021-03-24,2023-07-05,Tablet,Chrome,1,3,0,58900.77067331226,841,10219.917183103988,Rejected
10013,74,user@gmail.com,1234567890,5670.083359458641,27393.347695720106,Credit,,Mumbai,2021-11-10,2023-07-24,Mobile,Edge,1,0,0,107820.06061622848,700,17783.928201549126,Pending
10014,35,invalid_email,invalid_phone,8116.2137879035545,42591.77154819091,Debit,India,Dallas,2023-04-19,2023-03-19,Mobile,Chrome,1,8,1,91677.14824553586,699,3718.328757484374,Approved
10015,47,test@company.com,1234567890,3618.8039359972445,46408.73782447602,Debit,India,NY,2020-05-09,2024-04-25,Mobile,Chrome,1,5,1,37974.18792725212,698,42837.1241203629,Rejected
10016,72,user@gmail.com,,4199.2944786136495,8395.214864114323,Debit,India,London,2020-05-28,2024-01-21,Tablet,Firefox,0,8,1,138105.54337016106,786,43007.31559004968,Rejected
10017,36,test@company.com,1234567890,7165.018071349045,21279.861864413455,Debit,USA,Mumbai,2022-03-28,2023-07-13,Tablet,Edge,1,2,1,97134.06226562454,814,20646.64492413449,Approved
10018,63,invalid_email,,3256.4250145839997,19011.487147568787,Debit,UK,London,2022-08-05,2023-04-13,Desktop,Safari,0,4,0,79498.949305091,323,30604.378451173765,Approved
10019,73,test@company.com,,170.95989150792514,19665.971288263212,Credit,UK,London,2021-05-14,2024-09-08,Desktop,Chrome,1,8,1,141835.34052542498,358,32097.578545215234,Approved
10020,56,test@company.com,1234567890,280.5133933037504,5401.733242621671,Debit,India,Dallas,2023-10-10,2024-01-11,Desktop,Firefox,1,5,1,32649.240343727106,539,37462.90576729644,Pending
10021,74,test@company.com,invalid_phone,711.3094137098906,40494.40202501669,Debit,India,Mumbai,2023-05-19,2023-10-14,Desktop,Safari,0,1,1,122647.08195816331,610,26034.504377202556,Approved
10022,29,test@company.com,,8631.653895108459,824.0783937616977,Credit,USA,Dallas,2021-10-19,2024-04-26,Desktop,Chrome,0,0,0,67406.51574360122,620,25516.8022720843,Pending
10023,76,invalid_email,1234567890,4458.377470440146,25939.556994085004,Credit,,NY,2022-11-19,2024-12-23,Desktop,Safari,1,8,1,110400.6676201163,780,31565.188866410543,Approved
10024,76,user@gmail.com,,6985.264878119733,32755.797790279255,Credit,India,London,2021-07-30,2023-09-07,Mobile,Safari,1,0,0,140994.30559419823,871,35152.419783493875,Pending
10025,61,,invalid_phone,3625.548023851379,9580.941341002737,Debit,India,Dallas,2022-11-13,2023-07-20,Desktop,Edge,1,4,1,87302.70046310425,713,17334.518851462588,Approved
10026,76,test@company.com,1234567890,2216.4649478641622,45198.359797038574,Credit,,Dallas,2022-09-10,2024-06-19,Tablet,Edge,1,0,1,22943.047045737156,621,16518.523663440756,Pending
10027,65,user@gmail.com,1234567890,3145.517759403225,41766.00955826445,Credit,India,NY,2021-12-23,2024-04-05,Desktop,Chrome,1,4,1,23750.269922403935,701,13485.92020479546,Rejected
10028,69,user@gmail.com,1234567890,7838.914625830428,23025.27020368019,Credit,UK,Mumbai,2020-08-09,2023-10-27,Tablet,Chrome,0,4,0,62972.906481098944,358,27442.327765637427,Pending
10029,78,invalid_email,invalid_phone,6064.769312830101,19968.595549347076,Debit,India,Dallas,2021-08-24,2024-04-22,Desktop,Edge,1,6,1,121615.56852135804,352,18007.78447778862,Pending
10030,17,user@gmail.com,,9345.217689557972,11064.964185766103,Credit,UK,London,2021-11-14,2023-03-24,Mobile,Chrome,0,6,1,57473.97459956576,363,27015.663385381595,Rejected
10031,65,invalid_email,1234567890,6636.900175056757,36229.65445689314,Credit,USA,London,2022-01-11,2024-04-02,Mobile,Chrome,1,9,0,63480.9181152083,418,20299.23829134608,Approved
10032,21,test@company.com,,5486.907133424286,5718.933781230171,Debit,USA,London,2022-07-13,2024-11-21,Tablet,Edge,1,0,1,121979.89271568393,585,41836.70912763304,Rejected
10033,35,test@company.com,,5907.058094351262,33692.12544603294,Credit,UK,London,2021-08-02,2023-10-25,Desktop,Safari,0,8,1,35104.59260950651,317,3656.5119872730365,Rejected
10034,53,,invalid_phone,9394.900114418353,41965.306292039095,Debit,UK,Dallas,2021-02-04,2023-12-30,Mobile,Chrome,1,0,1,130085.68505517513,304,28610.529680233733,Rejected
10035,32,,1234567890,7776.109763600414,10652.05037176821,Debit,,London,2022-06-19,2024-12-18,Mobile,Firefox,0,4,1,54553.02702203385,691,28781.187529359886,Pending
10036,18,,,-247.5670076524029,43187.79754783656,Credit,UK,Dallas,2021-05-26,2023-02-09,Desktop,Edge,0,6,1,26658.99923375807,459,19185.86552693499,Rejected
10037,74,user@gmail.com,1234567890,5108.466809424821,699.4831714149311,Debit,UK,Mumbai,2020-03-28,2024-09-16,Tablet,Chrome,1,7,0,35254.55183247961,441,21051.044728157158,Approved
10038,28,test@company.com,1234567890,6727.553321238931,45552.156654712795,Credit,India,London,2020-02-19,2023-12-06,Tablet,Chrome,0,1,1,143832.13527604705,696,40006.56804414643,Pending
10039,23,invalid_email,invalid_phone,7361.334023611128,5036.473620416199,Credit,,Mumbai,2020-04-12,2024-05-30,Tablet,Edge,1,0,1,78672.1141557029,317,14033.685513016742,Pending
10040,67,,1234567890,1737.992252796335,31933.718074839664,Credit,UK,Dallas,2021-01-02,2023-04-18,Mobile,Firefox,1,3,0,53336.95377979955,879,43570.18957130815,Rejected
10041,16,invalid_email,1234567890,8605.362221739199,11754.205914611033,Credit,UK,NY,2022-07-24,2023-11-12,Desktop,Firefox,1,3,0,87765.22352329537,413,44817.165206734666,Pending
10042,74,invalid_email,,9536.35304533922,41664.1719496503,Debit,UK,Mumbai,2023-07-15,2023-04-24,Mobile,Edge,1,9,1,108705.06494119404,833,32530.965220109796,Approved
10043,58,,invalid_phone,1985.5107113711324,25127.31840668879,Credit,India,London,2023-11-21,2023-06-16,Mobile,Firefox,1,5,1,61443.79304572901,831,38642.88568540492,Pending
10044,22,test@company.com,1234567890,8767.46230393108,5897.30075357157,Credit,India,NY,2023-09-05,2023-09-18,Mobile,Chrome,1,0,1,114285.25641093311,760,30647.37641772442,Rejected
10045,61,,,518.2770064190015,28120.5701376249,Credit,India,Mumbai,2022-06-16,2024-09-09,Mobile,Firefox,1,0,0,52792.766617936264,585,26262.95568732958,Rejected
10046,49,invalid_email,invalid_phone,84.92177921007442,19802.01312004614,Debit,USA,Dallas,2022-06-27,2023-08-12,Desktop,Chrome,0,2,1,34603.84016572527,304,48333.88771251148,Rejected
10047,50,,invalid_phone,856.8499010788682,32733.83864726816,Debit,India,Dallas,2023-06-17,2023-09-19,Mobile,Safari,1,4,0,91462.06864798233,428,14132.748211373208,Pending
10048,64,invalid_email,,106.28133440387796,43977.067522936435,Credit,UK,Dallas,2020-09-14,2023-09-08,Mobile,Firefox,0,5,0,39645.42786623694,798,7707.5473321556065,Rejected
10049,18,invalid_email,,8372.628490135647,19878.84569035434,Debit,India,Mumbai,2021-01-24,2024-06-09,Tablet,Safari,1,4,0,142263.03423088818,575,14374.268157125764,Pending
10050,16,,,120.02651681185546,13783.914656226842,Debit,India,Dallas,2023-09-28,2024-12-10,Mobile,Edge,1,4,1,20058.3736571406,382,30731.280418972256,Rejected
10051,20,user@gmail.com,,2352.4740093183827,-259.7301790919514,Credit,,Mumbai,2022-02-11,2023-05-06,Desktop,Firefox,0,8,1,118240.49299565105,417,9259.171905057185,Rejected
10052,68,,,589.441607126492,28316.79093085362,Credit,UK,London,2022-01-23,2023-07-25,Mobile,Chrome,0,1,1,56331.51651439841,328,45440.702161315705,Rejected
10053,18,user@gmail.com,1234567890,2601.931381294532,19516.01313900311,Credit,India,London,2023-11-11,2023-05-20,Desktop,Firefox,0,0,0,129991.2920304077,657,20551.220033269634,Approved
10054,68,invalid_email,1234567890,450.87440980966505,18107.110169756266,Credit,USA,Mumbai,2021-01-28,2023-03-03,Desktop,Edge,0,5,1,27819.614886248783,456,42498.143914592176,Approved
10055,77,invalid_email,invalid_phone,6514.0341328016475,8329.701385494838,Credit,,Mumbai,2021-11-13,2023-10-10,Desktop,Edge,1,8,1,143890.07777894428,330,12461.827226440835,Rejected
10056,32,user@gmail.com,1234567890,899.931571597039,20932.82260475499,Debit,India,NY,2020-09-26,2023-02-23,Tablet,Chrome,1,6,0,33181.334898291745,585,15658.417754137377,Rejected
10057,58,invalid_email,1234567890,8444.382221308322,49206.53963275178,Credit,,Dallas,2020-05-28,2023-12-12,Tablet,Firefox,0,7,0,122424.7581546079,635,2961.169858624829,Pending
10058,48,user@gmail.com,1234567890,8080.50603262973,14185.461837284462,Credit,,London,2023-11-04,2024-06-07,Mobile,Safari,1,4,0,87254.48777262858,869,12888.384609278697,Pending
10059,76,user@gmail.com,,-356.5523025586011,29584.925083813112,Credit,USA,London,2022-03-21,2023-05-16,Mobile,Edge,0,9,0,75951.32294408605,612,24515.69094816507,Approved
10060,28,invalid_email,invalid_phone,8905.126732908704,38600.830947099006,Credit,USA,NY,2020-01-28,2023-11-26,Mobile,Edge,0,3,0,56420.252168335304,898,47306.84588616211,Pending
10061,62,test@company.com,invalid_phone,-196.08467419464586,37207.048982003114,Credit,USA,Mumbai,2023-03-18,2023-05-24,Desktop,Chrome,0,5,1,129378.03958237848,422,19445.14869457491,Pending
10062,29,user@gmail.com,invalid_phone,2016.2807420543445,15767.488662122127,Debit,UK,Mumbai,2023-12-14,2024-03-11,Desktop,Firefox,0,2,0,45967.681679283516,670,31987.193974167294,Pending
10063,76,,invalid_phone,-159.9140533520519,30153.86425935937,Credit,,NY,2020-10-06,2023-10-09,Desktop,Safari,0,0,1,113761.36574907169,613,21385.505873439397,Pending
10064,54,,1234567890,3026.356613912818,43434.49894877802,Debit,India,Dallas,2023-04-20,2023-05-16,Mobile,Firefox,1,3,0,77952.91463364082,327,2339.5925383970616,Approved
10065,67,invalid_email,1234567890,4895.598519989352,-212.1811856130248,Credit,USA,Mumbai,2020-06-14,2024-05-03,Mobile,Firefox,0,8,1,149804.3509291451,454,25176.631294835133,Approved
10066,38,test@company.com,,7864.77112465895,21222.45219900869,Credit,USA,Mumbai,2020-01-17,2024-12-21,Mobile,Safari,0,3,1,99481.87262207044,529,3295.682335196043,Pending
10067,40,invalid_email,invalid_phone,3048.8062799332793,10437.94433033717,Credit,,Dallas,2023-03-19,2024-02-05,Mobile,Chrome,1,0,0,33544.64849708989,848,44184.9962298768,Pending
10068,74,test@company.com,1234567890,6907.645259067725,18820.24681034079,Debit,,Dallas,2020-12-04,2024-03-24,Tablet,Edge,0,3,0,74537.75458975995,305,37651.8480975457,Approved
10069,55,user@gmail.com,1234567890,1468.7967997492935,20215.470006737323,Credit,,NY,2022-12-04,2024-09-26,Tablet,Chrome,0,6,1,28618.86745007545,772,18932.57356261831,Rejected
10070,43,user@gmail.com,,7381.283795813327,37080.21920411848,Credit,India,NY,2022-04-21,2024-09-19,Tablet,Chrome,1,2,0,57135.232470584895,617,32010.933309564487,Pending
10071,29,user@gmail.com,,1977.9643620469942,3784.915492167601,Credit,UK,NY,2020-07-07,2024-10-30,Mobile,Firefox,1,9,0,64631.18333454361,524,5601.407765666605,Rejected
10072,59,user@gmail.com,,1007.2199374095633,25141.77905975803,Credit,UK,Mumbai,2021-10-12,2023-09-27,Tablet,Safari,1,5,0,130912.95908414837,332,35127.749348132544,Pending
10073,79,,1234567890,1446.79292892757,27773.934381736013,Credit,USA,NY,2022-12-20,2023-01-17,Tablet,Edge,1,0,0,128938.37195897964,388,41136.62044957347,Approved
